team,season,drives,d_3_and_out,d_fg,d_td,d_3_and_out_rate,d_fg_rate,d_td_rate
BUF,2023,166,25,28,51,0.15060240963855423,0.1686746987951807,0.3072289156626506
KC,2023,165,28,33,37,0.1696969696969697,0.2,0.22424242424242424
MIA,2023,174,31,26,57,0.1781609195402299,0.14942528735632185,0.3275862068965517
DAL,2023,157,29,38,50,0.18471337579617833,0.24203821656050956,0.3184713375796178
DET,2023,174,35,20,56,0.20114942528735633,0.11494252873563218,0.3218390804597701
MIN,2023,171,36,30,36,0.21052631578947367,0.17543859649122806,0.21052631578947367
LA,2023,177,38,41,44,0.21468926553672316,0.23163841807909605,0.24858757062146894
GB,2023,163,35,32,42,0.2147239263803681,0.19631901840490798,0.25766871165644173
PHI,2023,172,37,32,46,0.21511627906976744,0.18604651162790697,0.26744186046511625
BAL,2023,185,40,36,53,0.21621621621621623,0.1945945945945946,0.2864864864864865
JAX,2023,185,40,37,39,0.21621621621621623,0.2,0.21081081081081082
HOU,2023,183,40,36,36,0.2185792349726776,0.19672131147540983,0.19672131147540983
SF,2023,159,35,24,60,0.22012578616352202,0.1509433962264151,0.37735849056603776
CHI,2023,177,39,37,35,0.22033898305084745,0.20903954802259886,0.1977401129943503
NO,2023,182,41,37,41,0.22527472527472528,0.2032967032967033,0.22527472527472528
ARI,2023,174,42,32,35,0.2413793103448276,0.1839080459770115,0.20114942528735633
IND,2023,186,45,40,37,0.24193548387096775,0.21505376344086022,0.1989247311827957
WAS,2023,193,47,24,38,0.24352331606217617,0.12435233160621761,0.19689119170984457
SEA,2023,167,42,39,33,0.25149700598802394,0.23353293413173654,0.19760479041916168
LAC,2023,182,46,32,35,0.25274725274725274,0.17582417582417584,0.19230769230769232
CLE,2023,210,56,32,39,0.26666666666666666,0.1523809523809524,0.18571428571428572
TEN,2023,168,45,29,30,0.26785714285714285,0.17261904761904762,0.17857142857142858
DEN,2023,174,47,32,34,0.27011494252873564,0.1839080459770115,0.19540229885057472
ATL,2023,184,51,35,31,0.27717391304347827,0.19021739130434784,0.16847826086956522
PIT,2023,177,50,30,28,0.2824858757062147,0.1694915254237288,0.15819209039548024
CIN,2023,175,50,29,39,0.2857142857142857,0.1657142857142857,0.22285714285714286
TB,2023,171,49,31,36,0.28654970760233917,0.18128654970760233,0.21052631578947367
LV,2023,170,49,29,30,0.28823529411764703,0.17058823529411765,0.17647058823529413
NYJ,2023,201,59,37,18,0.2935323383084577,0.18407960199004975,0.08955223880597014
CAR,2023,177,54,29,20,0.3050847457627119,0.1638418079096045,0.11299435028248588
NE,2023,197,64,24,25,0.3248730964467005,0.1218274111675127,0.12690355329949238
NYG,2023,191,65,29,25,0.3403141361256545,0.1518324607329843,0.13089005235602094
MIA,2022,171,28,31,42,0.16374269005847952,0.18128654970760233,0.24561403508771928
GB,2022,164,29,27,39,0.17682926829268292,0.16463414634146342,0.23780487804878048
SF,2022,174,31,31,50,0.1781609195402299,0.1781609195402299,0.28735632183908044
DET,2022,166,31,30,52,0.18674698795180722,0.18072289156626506,0.3132530120481928
KC,2022,170,32,32,59,0.18823529411764706,0.18823529411764706,0.34705882352941175
ATL,2022,159,30,33,34,0.18867924528301888,0.20754716981132076,0.2138364779874214
PHI,2022,171,33,25,57,0.19298245614035087,0.14619883040935672,0.3333333333333333
BAL,2022,165,33,42,33,0.2,0.2545454545454545,0.2
LV,2022,170,34,37,40,0.2,0.21764705882352942,0.23529411764705882
BUF,2022,157,32,29,50,0.20382165605095542,0.18471337579617833,0.3184713375796178
CLE,2022,168,35,30,38,0.20833333333333334,0.17857142857142858,0.2261904761904762
SEA,2022,178,39,36,42,0.21910112359550563,0.20224719101123595,0.23595505617977527
WAS,2022,188,42,29,33,0.22340425531914893,0.15425531914893617,0.17553191489361702
NYG,2022,168,39,29,37,0.23214285714285715,0.17261904761904762,0.22023809523809523
JAX,2022,171,41,34,41,0.23976608187134502,0.19883040935672514,0.23976608187134502
CIN,2022,161,39,28,49,0.2422360248447205,0.17391304347826086,0.30434782608695654
LAC,2022,177,43,32,41,0.24293785310734464,0.1807909604519774,0.23163841807909605
IND,2022,188,46,38,25,0.24468085106382978,0.20212765957446807,0.13297872340425532
CHI,2022,172,44,26,37,0.2558139534883721,0.1511627906976744,0.21511627906976744
ARI,2022,179,46,31,32,0.2569832402234637,0.17318435754189945,0.1787709497206704
MIN,2022,190,49,31,48,0.2578947368421053,0.1631578947368421,0.25263157894736843
DAL,2022,185,49,31,52,0.2648648648648649,0.16756756756756758,0.2810810810810811
NO,2022,177,48,30,36,0.2711864406779661,0.1694915254237288,0.2033898305084746
NYJ,2022,187,51,37,28,0.2727272727272727,0.19786096256684493,0.1497326203208556
PIT,2022,167,46,43,28,0.2754491017964072,0.25748502994011974,0.16766467065868262
TB,2022,181,51,37,29,0.281767955801105,0.20441988950276244,0.16022099447513813
