team,season,drives,d_3_and_out,d_fg,d_td,d_3_and_out_rate,d_fg_rate,d_td_rate
CLE,2023,210,77,23,38,0.36666666666666664,0.10952380952380952,0.18095238095238095
NYJ,2023,201,63,38,33,0.31343283582089554,0.1890547263681592,0.16417910447761194
NE,2023,186,54,37,33,0.2903225806451613,0.1989247311827957,0.1774193548387097
NO,2023,186,53,34,32,0.2849462365591398,0.1827956989247312,0.17204301075268819
ATL,2023,183,50,39,35,0.273224043715847,0.21311475409836064,0.1912568306010929
MIN,2023,173,47,33,37,0.27167630057803466,0.1907514450867052,0.2138728323699422
KC,2023,170,45,26,29,0.2647058823529412,0.15294117647058825,0.17058823529411765
ARI,2023,163,43,29,51,0.26380368098159507,0.17791411042944785,0.3128834355828221
NYG,2023,191,50,30,45,0.2617801047120419,0.15706806282722513,0.2356020942408377
JAX,2023,185,48,26,42,0.2594594594594595,0.14054054054054055,0.22702702702702704
CHI,2023,176,45,33,39,0.2556818181818182,0.1875,0.2215909090909091
HOU,2023,184,46,35,36,0.25,0.19021739130434784,0.1956521739130435
LA,2023,170,42,34,38,0.24705882352941178,0.2,0.2235294117647059
PIT,2023,179,44,33,32,0.24581005586592178,0.18435754189944134,0.1787709497206704
TEN,2023,168,41,47,30,0.24404761904761904,0.27976190476190477,0.17857142857142858
SF,2023,164,40,32,28,0.24390243902439024,0.1951219512195122,0.17073170731707318
CAR,2023,166,40,25,44,0.24096385542168675,0.15060240963855423,0.26506024096385544
MIA,2023,175,42,21,42,0.24,0.12,0.24
DAL,2023,167,40,24,33,0.23952095808383234,0.1437125748502994,0.19760479041916168
IND,2023,191,45,39,43,0.2356020942408377,0.20418848167539266,0.225130890052356
TB,2023,175,41,36,33,0.2342857142857143,0.2057142857142857,0.18857142857142858
BUF,2023,172,40,27,32,0.23255813953488372,0.1569767441860465,0.18604651162790697
LV,2023,173,40,30,35,0.23121387283236994,0.17341040462427745,0.2023121387283237
CIN,2023,181,41,35,40,0.2265193370165746,0.19337016574585636,0.22099447513812154
BAL,2023,185,41,32,24,0.22162162162162163,0.17297297297297298,0.12972972972972974
LAC,2023,178,36,26,44,0.20224719101123595,0.14606741573033707,0.24719101123595505
DET,2023,176,35,29,43,0.19886363636363635,0.16477272727272727,0.24431818181818182
SEA,2023,173,34,34,45,0.19653179190751446,0.19653179190751446,0.26011560693641617
WAS,2023,181,35,38,53,0.19337016574585636,0.20994475138121546,0.292817679558011
GB,2023,162,31,37,36,0.19135802469135801,0.22839506172839505,0.2222222222222222
DEN,2023,175,32,33,43,0.18285714285714286,0.18857142857142858,0.24571428571428572
PHI,2023,168,29,25,48,0.17261904761904762,0.1488095238095238,0.2857142857142857
TB,2022,185,60,24,41,0.32432432432432434,0.12972972972972974,0.22162162162162163
DEN,2022,186,58,40,32,0.3118279569892473,0.21505376344086022,0.17204301075268819
WAS,2022,185,57,27,36,0.3081081081081081,0.14594594594594595,0.1945945945945946
SF,2022,177,51,21,31,0.288135593220339,0.11864406779661017,0.1751412429378531
TEN,2022,178,51,26,38,0.28651685393258425,0.14606741573033707,0.21348314606741572
GB,2022,166,46,34,40,0.27710843373493976,0.20481927710843373,0.24096385542168675
CIN,2022,166,42,37,29,0.25301204819277107,0.22289156626506024,0.1746987951807229
LA,2022,163,41,39,34,0.25153374233128833,0.2392638036809816,0.2085889570552147
CLE,2022,175,44,35,42,0.25142857142857145,0.2,0.24
NYJ,2022,183,46,43,29,0.25136612021857924,0.23497267759562843,0.15846994535519127
IND,2022,184,46,28,45,0.25,0.15217391304347827,0.24456521739130435
CAR,2022,182,45,31,42,0.24725274725274726,0.17032967032967034,0.23076923076923078
NO,2022,174,43,33,31,0.2471264367816092,0.1896551724137931,0.1781609195402299
ARI,2022,179,44,30,50,0.24581005586592178,0.16759776536312848,0.27932960893854747
BAL,2022,169,41,37,30,0.24260355029585798,0.21893491124260356,0.17751479289940827
PIT,2022,165,40,32,36,0.24242424242424243,0.19393939393939394,0.21818181818181817
PHI,2022,172,41,23,37,0.23837209302325582,0.13372093023255813,0.21511627906976744
KC,2022,174,41,25,43,0.23563218390804597,0.14367816091954022,0.2471264367816092
LAC,2022,179,42,35,41,0.2346368715083799,0.19553072625698323,0.22905027932960895
BUF,2022,162,38,28,31,0.2345679012345679,0.1728395061728395,0.19135802469135801
HOU,2022,181,42,30,40,0.23204419889502761,0.16574585635359115,0.22099447513812154
DAL,2022,186,43,38,31,0.23118279569892472,0.20430107526881722,0.16666666666666666
NYG,2022,173,39,41,37,0.2254335260115607,0.23699421965317918,0.2138728323699422
NE,2022,182,41,29,35,0.22527472527472528,0.15934065934065933,0.19230769230769232
MIA,2022,169,38,28,42,0.22485207100591717,0.16568047337278108,0.2485207100591716
JAX,2022,172,38,27,39,0.22093023255813954,0.1569767441860465,0.22674418604651161
LV,2022,165,34,38,44,0.20606060606060606,0.23030303030303031,0.26666666666666666
ATL,2022,163,33,37,41,0.20245398773006135,0.22699386503067484,0.25153374233128833
SEA,2022,179,36,32,44,0.2011173184357542,0.1787709497206704,0.24581005586592178
DET,2022,168,30,30,48,0.17857142857142858,0.17857142857142858,0.2857142857142857
CHI,2022,164,29,27,53,0.17682926829268292,0.16463414634146342,0.3231707317073171
MIN,2022,182,29,42,41,0.15934065934065933,0.23076923076923078,0.22527472527472528
CLE,2021,170,48,26,41,0.2823529411764706,0.15294117647058825,0.2411764705882353
BUF,2021,177,47,23,31,0.2655367231638418,0.12994350282485875,0.1751412429378531
CAR,2021,182,47,35,41,0.25824175824175827,0.19230769230769232,0.22527472527472528
IND,2021,175,44,27,42,0.25142857142857145,0.15428571428571428,0.24
PIT,2021,188,47,37,41,0.25,0.19680851063829788,0.21808510638297873
HOU,2021,177,44,31,52,0.24858757062146894,0.1751412429378531,0.2937853107344633
PHI,2021,168,41,22,46,0.24404761904761904,0.13095238095238096,0.27380952380952384
NO,2021,190,46,37,32,0.24210526315789474,0.19473684210526315,0.16842105263157894
BAL,2021,179,42,25,44,0.2346368715083799,0.13966480446927373,0.24581005586592178
SF,2021,176,41,26,42,0.23295454545454544,0.14772727272727273,0.23863636363636365
DAL,2021,194,45,35,37,0.23195876288659795,0.18041237113402062,0.19072164948453607
DEN,2021,156,36,31,30,0.23076923076923078,0.1987179487179487,0.19230769230769232
TB,2021,187,43,31,37,0.22994652406417113,0.1657754010695187,0.19786096256684493
NYG,2021,175,39,36,42,0.22285714285714286,0.2057142857142857,0.24
LA,2021,171,38,30,35,0.2222222222222222,0.17543859649122806,0.2046783625730994
WAS,2021,168,37,29,48,0.22023809523809523,0.17261904761904762,0.2857142857142857
GB,2021,164,36,21,44,0.21951219512195122,0.12804878048780488,0.2682926829268293
LAC,2021,169,37,35,49,0.21893491124260356,0.20710059171597633,0.28994082840236685
CIN,2021,183,40,29,40,0.2185792349726776,0.15846994535519127,0.2185792349726776
MIA,2021,181,39,33,39,0.2154696132596685,0.18232044198895028,0.2154696132596685
NE,2021,168,36,33,30,0.21428571428571427,0.19642857142857142,0.17857142857142858
ATL,2021,160,34,28,49,0.2125,0.175,0.30625
LV,2021,168,35,31,47,0.20833333333333334,0.18452380952380953,0.27976190476190477
CHI,2021,165,34,28,44,0.20606060606060606,0.1696969696969697,0.26666666666666666
ARI,2021,171,35,27,40,0.2046783625730994,0.15789473684210525,0.23391812865497075
