player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
J.J. Watt,2015,DI,HST,16,0.17158379373187674,593,92,19,16.082398713294026,2.917601286705974,36.87260902876476
Khalil Mack,2015,ED,OAK,16,0.1697507578817263,537,82,16,14.26743225098268,1.7325677490173206,37.63816715954714
Muhammad Wilkerson,2015,DI,NYJ,16,0.1758742569826197,599,80,12,14.069087933294293,-2.069087933294293,42.57560993577097
Von Miller,2015,ED,DEN,16,0.16607538344101225,450,82,11,13.396818668317298,-2.396818668317298,33.590064263855716
Geno Atkins,2015,DI,CIN,16,0.15819547917499865,546,81,14,12.824174103363012,1.1758258966369883,42.575841188620245
Michael Bennett,2015,ED,SEA,16,0,491,84,11,12.75517324282546,-1.7551732428254603,38.49418511631569
Aaron Donald,2015,DI,SL,16,0.16537856982257942,501,79,11,12.747714537775733,-1.7477145377757335,39.30116245664035
Olivier Vernon,2015,ED,MIA,16,0.16157271122916544,493,81,10,12.286815026121678,-2.286815026121678,40.124312033011456
Fletcher Cox,2015,DI,PHI,16,0.14528461684467758,584,77,10,12.057598838648492,-2.0575988386484916,48.43418725526775
Carlos Dunlap,2015,ED,CIN,16,0.16089242389721026,558,75,15,11.953063185695443,3.0469368143045568,46.682594355208785
Elvis Dumervil,2015,ED,BLT,16,0.1801022156476142,436,64,7,11.655280524078666,-4.655280524078666,37.407937037574236
Tamba Hali,2015,ED,KC,15,0.16147704771989993,473,72,7,11.603007867031087,-4.603007867031087,40.765291674410335
Everson Griffen,2015,ED,MIN,15,0.15906405151307962,495,71,11,11.082243076092093,-0.08224307609209269,44.666047893126596
Ezekiel Ansah,2015,ED,DET,16,0.16595506083255357,382,65,13,11.020574144679806,1.9794258553201942,34.66244090235634
Pernell McPhee,2015,ED,CHI,14,0.17541621659065657,297,63,6,10.765392298799032,-4.765392298799032,27.58840474704603
Cliff Avril,2015,ED,SEA,16,0,479,70,11,10.74515177468483,0.25484822531517004,44.578244220663855
Whitney Mercilus,2015,ED,HST,16,0.17089007986409896,391,57,11,10.093224368002081,0.9067756319979186,38.738859431240115
Sheldon Richardson,2015,DI,NYJ,11,0.18129130930349444,386,55,7,9.984469338454563,-2.984469338454563,38.66004160214555
Melvin Ingram III,2015,ED,SD,16,0.18366930792630393,416,56,12,9.958780523062503,2.0412194769374974,41.77218275235898
Ndamukong Suh,2015,DI,MIA,16,0.16053644580386198,510,60,6,9.897248998901452,-3.8972489989014516,51.529470467663046
Kawann Short,2015,DI,CAR,16,0,487,67,12,9.860888685526868,2.1391113144731317,49.38702945859078
Malik Jackson,2015,DI,DEN,16,0.1685104628113603,493,60,7,9.729601872211685,-2.729601872211685,50.67011029588343
Cameron Heyward,2015,DI,PIT,16,0.16469445512611944,605,58,7,9.72664662481248,-2.7266466248124797,62.20026524420628
Cameron Jordan,2015,ED,NO,16,0,555,70,10,9.62423666744027,0.37576333255973005,57.666911068138944
Jerry Hughes,2015,ED,BUF,16,0.1633327158644286,541,59,5,9.514803943218288,-4.514803943218288,56.85876484986323
Brian Robison,2015,ED,MIN,16,0.16119542540578294,524,57,5,9.462881499986034,-4.462881499986034,55.37425360348995
Jabaal Sheard,2015,ED,NE,13,0,322,58,8,9.280762924767187,-1.2807629247671866,34.695423491606704
Justin Houston,2015,ED,KC,11,0.16383218863556145,293,56,8,9.26223348380413,-1.2622334838041294,31.633838696933903
Tom Johnson,2015,DI,MIN,16,0.1599765288190005,460,54,6,9.113051977107,-3.113051977107,50.47705216162172
Chandler Jones,2015,ED,NE,15,0,498,62,13,9.02379768714529,3.97620231285471,55.187407482485796
Mike Daniels,2015,DI,GB,16,0.16601908550894032,385,53,5,8.99071931651403,-3.9907193165140296,42.82193520298618
Leonard Williams,2015,DI,NYJ,16,0.17316411533190318,476,52,4,8.833882680230804,-4.833882680230804,53.88344143003306
Jeremiah Attaochu,2015,ED,SD,15,0.18729842321007165,367,46,7,8.802258009698804,-1.8022580096988037,41.693847146450324
Ryan Kerrigan,2015,ED,WAS,16,0.14840320921114247,510,59,10,8.719982688266557,1.2800173117334435,58.48635464451625
Julius Peppers,2015,ED,GB,16,0.16617258795667494,413,53,11,8.705427459094205,2.2945725409057953,47.441668078981664
Aaron Lynch,2015,ED,SF,14,0.1395602761974006,347,62,7,8.550397991860118,-1.5503979918601178,40.582906237854665
Clay Matthews,2015,LB,GB,16,0.16497204704025223,306,49,5,8.308243314527587,-3.308243314527587,36.83089052831855
Jurrell Casey,2015,DI,TEN,16,0.1622188403424559,453,51,9,8.164199922534214,0.8358000774657857,55.48614736266603
Paul Kruger,2015,ED,CLV,16,0.15473674087685035,356,54,3,8.082639948119192,-5.082639948119192,44.045015277816525
Brandon Graham,2015,ED,PHI,16,0.14761762063462439,407,57,7,7.96434925808671,-0.9643492580867097,51.10273128551552
Michael Johnson,2015,ED,CIN,16,0.15914663282305816,518,50,5,7.8784680125760564,-2.8784680125760564,65.74882314342574
Stephon Tuitt,2015,DI,PIT,14,0.16485211928669738,533,46,7,7.846616779751664,-0.8466167797516642,67.92736474341605
Willie Young,2015,ED,CHI,15,0.1651573964662046,298,46,7,7.7334443534349235,-0.7334443534349235,38.53392956369291
Markus Golden,2015,ED,ARZ,15,0.15360994190991695,320,51,7,7.733094752182574,-0.7330947521825744,41.38058697776641
William Hayes,2015,ED,SL,16,0.16611750008082726,317,47,7,7.713402073888502,-0.7134020738885019,41.09730012300436
James Harrison,2015,ED,PIT,15,0.16870570366191123,277,45,5,7.6375276133362044,-2.6375276133362044,36.26828131086803
Kendall Langford,2015,DI,IND,16,0.18275115165189085,496,42,7,7.442383475872881,-0.44238347587288107,66.64531619580735
Calais Campbell,2015,DI,ARZ,16,0.15812042005120916,498,46,6,7.431027268197736,-1.4310272681977363,67.01630636335709
Brian Orakpo,2015,ED,TEN,16,0.16174536160805636,399,49,7,7.388647812627855,-0.3886478126278554,54.00176190805489
Wallace Gilberry,2015,ED,CIN,16,0.1557853515720078,468,48,2,7.315970936049484,-5.315970936049484,63.96963630540515
Demarcus Lawrence,2015,ED,DAL,16,0.15667026032541478,369,46,8,7.279333893631065,0.7206661063689346,50.69145135969797
Vinny Curry,2015,DI,PHI,16,0.14620652330408843,340,49,5,7.198627750849287,-2.198627750849287,47.23122402875842
Adrian Clayborn,2015,DI,ATL,16,0,369,44,3,7.132940971999735,-4.132940971999735,51.73181741563607
Jason Hatcher,2015,DI,WAS,15,0.1434078648750975,348,50,2,7.110906774631235,-5.110906774631235,48.938906250538906
Robert Ayers,2015,ED,NYG,12,0.146640784722066,366,48,10,7.037299597198752,2.9627004028012482,52.0085858140371
Erik Walden,2015,ED,IND,15,0.18069473916899315,333,37,2,6.993738563722124,-4.993738563722124,47.614018877876774
Vic Beasley Jr.,2015,ED,ATL,16,0,360,42,4,6.859763001182382,-2.8597630011823822,52.47994718446521
DeMarcus Ware,2015,ED,DEN,11,0.17166356160544552,223,43,7,6.839860729685364,0.1601392703146356,32.60300301615324
Jason Jones,2015,ED,DET,15,0.16723515653195847,321,40,5,6.74579681019327,-1.7457968101932702,47.58518660315285
Arthur Moats,2015,ED,PIT,16,0.16714176001729114,278,36,4,6.704677422979047,-2.7046774229790467,41.463590634085726
Robert Mathis,2015,ED,IND,15,0.184483397987874,307,35,7,6.67754038323804,0.32245961676196,45.975012112338746
Tyrone Crawford,2015,DI,DAL,16,0.15676010192897877,391,42,5,6.6635080921001,-1.6635080921001002,58.677800731351816
Greg Hardy,2015,ED,DAL,12,0.15840557736009264,309,40,7,6.532532080122013,0.4674679198779872,47.30171948795521
Gerald McCoy,2015,DI,TB,15,0,435,41,9,6.525085109724007,2.4749148902759934,66.66579710228474
Derrick Shelby,2015,ED,MIA,16,0.15887856942587777,416,41,4,6.516379336044758,-2.516379336044758,63.839131908563694
Connor Barwin,2015,ED,PHI,16,0.1467367177861975,446,45,7,6.509401040513335,0.49059895948666465,68.51628855315207
Rob Ninkovich,2015,ED,NE,16,0,445,42,7,6.498806425344954,0.501193574655046,68.47411214842879
Derek Wolfe,2015,DI,DEN,12,0.1643535739649626,361,40,6,6.4896851592698575,-0.48968515926985745,55.626735525736265
Mario Addison,2015,ED,CAR,14,0,285,43,6,6.487064355225865,-0.4870643552258649,43.93358604041118
Denico Autry,2015,DI,OAK,14,0.1749613391737342,422,35,3,6.397240034851098,-3.397240034851098,65.96594745562372
Mario Williams,2015,ED,BUF,15,0.1637821089996617,507,36,5,6.368773688871851,-1.3687736888718511,79.60716218977609
Kony Ealy,2015,ED,CAR,16,0,395,41,5,6.338148002511816,-1.338148002511816,62.32104391432024
Devin Taylor,2015,ED,DET,15,0.16893055147789904,351,36,9,6.308489754667748,2.6915102453322524,55.63930729066965
Chris Clemons,2015,ED,JAX,16,0.18369476050024466,430,34,3,6.294160311878996,-3.294160311878996,68.3172939190092
Jarvis Jenkins,2015,DI,CHI,15,0.1692901260062019,354,37,5,6.248085554327647,-1.2480855543276466,56.657354788429075
Dwight Freeney,2015,ED,ARZ,11,0.16617421657584328,208,36,8,6.150692157714852,1.8493078422851479,33.817332206929635
Chris Baker,2015,DI,WAS,16,0.1517913629409482,357,41,7,6.065520671210826,0.9344793287891742,58.8572720054277
Mike Neal,2015,ED,GB,16,0.1678846766634865,412,36,7,5.992726943129341,1.007273056870659,68.75000378122648
Jaye Howard Jr.,2015,DI,KC,16,0.16328495053688544,438,38,6,5.961878323384856,0.03812167661514376,73.46677946814009
Jason Pierre-Paul,2015,ED,NYG,8,0.1440074211993108,302,41,1,5.9465408771940025,-4.9465408771940025,50.78582763270349
Andre Branch,2015,ED,JAX,13,0.1835126177881279,361,30,5,5.92209933705909,-0.9220993370590902,60.9581129011038
Jared Odrick,2015,ED,JAX,16,0.18262485909906984,483,32,6,5.727425121557481,0.27257487844251926,84.33108940735588
Trent Cole,2015,ED,IND,14,0.16121717912381933,269,32,3,5.673300055470609,-2.673300055470609,47.41508423137441
Cullen Jenkins,2015,DI,NYG,16,0.15518794268779132,470,35,3,5.6691033201645356,-2.6691033201645356,82.90552728651964
Ahmad Brooks,2015,ED,SF,14,0.15496381268650397,288,35,6,5.571400806516475,0.4285991934835254,51.69256529940311
Alex Okafor,2015,ED,ARZ,13,0.15520672733910412,292,36,2,5.5652146277470615,-3.5652146277470615,52.46877605477166
Bruce Irvin,2015,LB,SEA,15,0,301,38,5,5.504316827461008,-0.5043168274610084,54.68435219759018
Haloti Ngata,2015,DI,DET,14,0.17082689817174368,356,33,4,5.479116364717384,-1.4791163647173837,64.9739805294978
Mario Edwards Jr.,2015,DI,OAK,14,0.1716568911863321,349,30,3,5.463642513922903,-2.4636425139229026,63.87679997559312
Preston Smith,2015,ED,WAS,16,0.1549551462339408,306,36,8,5.451242481446523,2.5487575185534768,56.13399166180567
Datone Jones,2015,DI,GB,15,0.16857722313147636,264,32,3,5.34425822426491,-2.3442582242649097,49.398810634063736
Aldon Smith,2015,ED,OAK,9,0.15128208825732914,310,36,4,5.301607212118141,-1.3016072121181406,58.47283429285707
Timmy Jernigan,2015,DI,BLT,15,0.18181331196077444,335,30,5,5.24592812675518,-0.24592812675517983,63.859052565253336
Desmond Bryant,2015,DI,CLV,14,0.152415279638207,304,33,7,5.189926001001616,1.8100739989983836,58.575016279871875
Dee Ford,2015,ED,KC,14,0.15817683414973474,265,34,4,5.181685392781984,-1.1816853927819837,51.141661431074404
