name,team,position,overall_rating,age,college,awareness_rating,throw_power_rating,kick_return_rating,lead_block_rating,strength_rating,b_c_vision_rating,catch_in_traffic_rating,play_action_rating,pursuit_rating,plyr_assetname,medium_route_running_rating,catching_rating,acceleration_rating,spin_move_rating,height,finesse_moves_rating,spectacular_catch_rating,run_block_rating,tackle_rating,injury_rating,zone_coverage_rating,weight,plyr_birthdate,running_style_rating,deep_route_running_rating,first_name,years_pro,total_salary,trucking_rating,throw_accuracy_short_rating,juke_move_rating,play_recognition_rating,short_route_running_rating,status,last_name,jersey_num,break_sack_rating,speed_rating,run_block_power_rating,jumping_rating,toughness_rating,throw_on_the_run_rating,man_coverage_rating,stiff_arm_rating,power_moves_rating,iteration,release_rating,hit_power_rating,throw_accuracy_mid_rating,kick_accuracy_rating,pass_block_power_rating,impact_blocking_rating,stamina_rating,carrying_rating,break_tackle_rating,plyr_portrait,kick_power_rating,plyr_handedness,throw_under_pressure_rating,signing_bonus,pass_block_rating,change_of_direction_rating,press_rating,throw_accuracy_deep_rating,archetype,block_shedding_rating,run_block_finesse_rating,team_id,agility_rating,pass_block_finesse_rating,primary_key
Aaron Donald,Rams,RE,99,31,Pittsburgh,99,20,10,23,99,49,23,6,98,DonaldAaron_10852,9,42,90,25,73,97,47,45,93,98,29,280,5/23/91,Default Stride Loose,5,Aaron,8,41670000,32,6,28,99,16,published,Donald,99,12,82,45,78,97,6,25,30,99,launch-ratings,12,89,6,21,45,93,88,48,17,6394,25,Right,15,45500000,45,68,21,6,DE_PowerRusher,97,45,24,86,45,10852
Davante Adams,Raiders,WR,99,29,Fresno State,99,45,45,25,63,94,99,6,44,AdamsDavante_10823,97,99,92,86,73,10,99,48,42,93,24,215,12/24/92,Default Stride Loose,95,Davante,8,97870000,63,15,95,26,98,published,Adams,17,22,90,20,96,88,10,18,75,10,launch-ratings,99,15,10,30,13,45,97,76,85,6328,25,Right,20,42350000,38,97,25,6,WR_DeepThreat,52,12,23,95,17,10823
Myles Garrett,Browns,RE,99,26,Texas AM,98,55,10,17,96,39,21,10,97,GarrettMyles_12520,8,52,91,40,76,91,25,45,92,88,51,272,12/29/95,Long Stride Default,4,Myles,5,84270000,36,31,36,94,15,published,Garrett,95,12,88,45,92,87,23,51,48,98,launch-ratings,31,84,30,20,45,87,88,55,34,8560,20,Right,16,65590000,45,71,44,27,DE_PowerRusher,90,45,5,85,45,12520
Trent Williams,49ers,LT,99,34,Oklahoma,99,12,10,98,98,10,15,6,33,WilliamsTrent_9800,5,20,74,10,77,10,51,98,39,87,14,320,7/19/88,Default Stride Awkward,5,Trent,12,97870000,10,6,10,19,15,published,Williams,71,12,76,98,83,98,6,10,10,10,launch-ratings,15,60,6,10,95,99,88,40,7,3231,11,Right,14,40100000,93,58,10,6,OT_Power,32,99,15,73,92,9800
Cooper Kupp,Rams,WR,98,29,Eastern Wash.,99,59,84,34,66,96,88,38,31,KuppCooper_12558,98,99,96,87,74,10,88,65,31,91,26,208,6/15/93,Default,94,Cooper,5,89850000,55,42,94,22,99,published,Kupp,10,22,89,32,82,88,40,15,77,10,launch-ratings,90,26,36,20,39,54,99,76,86,8626,22,Right,29,32200000,46,94,10,31,WR_Slot,28,28,24,95,34,12558
Jalen Ramsey,Rams,CB,98,27,Florida State,98,27,80,22,71,72,55,16,79,RamseyJalen_17538,24,80,95,69,73,41,70,34,75,88,99,208,10/24/94,Short Stride Default,12,Jalen,6,71000000,42,33,78,96,36,published,Ramsey,5,34,92,33,94,90,24,98,57,35,launch-ratings,27,82,26,17,33,65,94,71,68,8185,18,Right,17,43600000,21,92,99,21,CB_MantoMan,50,34,24,91,34,17538
Travis Kelce,Chiefs,TE,98,32,Cincinnati,97,70,6,59,79,92,91,29,42,KelceTravis_890,84,96,88,71,77,20,92,69,45,92,14,260,10/5/89,Long Stride High and Tight,79,Travis,9,48750000,78,64,83,15,88,published,Kelce,87,42,86,65,92,91,47,12,84,20,launch-ratings,85,15,53,32,64,74,97,72,77,5920,35,Right,33,36240000,66,75,10,49,TE_VerticalThreat,40,66,9,86,63,890
Zack Martin,Cowboys,RG,98,31,Notre Dame,97,29,10,94,95,10,15,6,48,MartinZack_12348,5,32,70,10,76,10,15,97,28,93,11,315,11/20/90,Default Stride Awkward,5,Zack,8,29140000,24,6,10,31,15,published,Martin,70,12,68,97,70,96,6,9,10,10,launch-ratings,15,20,6,14,96,93,93,40,5,6511,9,Right,14,23170000,95,60,10,6,G_Power,27,96,11,64,93,12348
Derrick Henry,Titans,HB,97,28,Alabama,98,42,36,49,87,93,47,15,41,HenryDerrick_17557,49,66,86,75,75,12,55,42,44,93,19,247,1/4/94,Default Stride High and Tight,41,Derrick,6,25500000,93,40,86,20,56,published,Henry,22,29,93,35,88,97,32,14,99,11,launch-ratings,47,33,29,20,43,47,98,98,91,8045,21,Right,26,24500000,62,79,16,23,HB_PowerBack,36,31,30,85,38,17557
George Kittle,49ers,TE,97,28,Iowa,96,30,31,65,82,90,86,10,36,KittleGeorge_12836,82,91,89,64,76,18,91,77,34,86,24,250,10/9/93,Default Stride Loose,76,George,5,42800000,84,20,80,35,85,published,Kittle,85,18,88,76,92,98,10,15,85,20,launch-ratings,84,38,15,22,62,78,94,76,81,8622,19,Right,14,20920000,62,77,20,10,TE_Possession,31,71,15,85,58,12836
