team,team_abbr,opponent,week,home,line,home_team,away_team,spread,team_id,team_nick,team_color,team_color2,team_color3,team_color4,team_logo_wikipedia,team_logo_espn,team_wordmark
Arizona Cardinals,ARI,TEN,1,1,3.5,ARI,TEN,ARI +3.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,MIN,2,0,-1,MIN,ARI,ARI -1,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,JAX,3,1,-2.5,ARI,JAX,ARI -2.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,LAR,4,1,5.5,ARI,LAR,ARI +5.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,SF,5,0,0.5,SF,ARI,ARI +0.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,CLE,6,1,4.5,ARI,CLE,ARI +4.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,HOU,7,0,-9.5,HOU,ARI,ARI -9.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,GB,8,0,3.5,GB,ARI,ARI +3.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,SF,9,1,4.5,ARI,SF,ARI +4.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,CAR,10,0,-3.5,CAR,ARI,ARI -3.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,SEA,11,1,4.5,ARI,SEA,ARI +4.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,Bye,12,1,0,Bye,Bye,Bye,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,CHI,13,0,0,ARI,CHI,PK,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,LAR,14,0,1.5,LAR,ARI,ARI +1.5,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,DET,15,1,-4,ARI,DET,ARI -4,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
Arizona Cardinals,ARI,IND,16,0,0,IND,ARI,PK,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png
